"session_id","Session Start","Session Finish","Session Duration (sec)","User","Country","City","Geo point"
20,2024-04-08 20:04:19.000,2024-04-09 01:49:28.000,20709.000000,user336,Mexico,San Luis Potosí,"[22.17,-101]"
21,2024-04-03 20:47:11.000,2024-04-03 21:48:30.000,3679.000000,user3,Argentina,Santa Fe,"[-31.6239,-60.69]"
22,2024-04-07 14:26:50.000,2024-04-07 16:34:17.000,7647.000000,user428,Japan,Kawanakajima,"[35.53,139.705]"
23,2024-04-04 14:36:19.000,2024-04-04 21:20:34.000,24255.000000,user129,Russia,Nizhniy Novgorod,"[56.333,44.0001]"
24,2024-04-09 11:53:55.000,2024-04-09 14:38:35.000,9880.000000,user369,Mexico,Mazatlán,"[23.2211,-106.42]"
25,2024-04-10 01:33:02.000,2024-04-10 02:18:44.000,2742.000000,user71,Brazil,Olinda,"[-8,-34.85]"
26,2024-04-07 03:29:53.000,2024-04-07 08:41:28.000,18695.000000,user34,"Korea, South",Cheongju,"[36.6439,127.5012]"
27,2024-04-08 00:50:05.000,2024-04-08 07:17:04.000,23219.000000,user201,United States,Fort Collins,"[40.5475,-105.0651]"
28,2024-04-07 20:03:11.000,2024-04-08 00:30:34.000,16043.000000,user215,Egypt,Ismailia,"[30.5903,32.26]"
29,2024-04-09 17:28:25.000,2024-04-09 18:47:56.000,4771.000000,user290,United States,Lancaster,"[40.042,-76.3012]"
30,2024-04-08 18:18:34.000,2024-04-09 02:22:38.000,29044.000000,user425,Mexico,Monterrey,"[25.67,-100.33]"
31,2024-04-04 06:47:21.000,2024-04-04 12:18:42.000,19881.000000,user263,United States,Boise,"[43.6007,-116.2312]"
32,2024-04-06 15:07:10.000,2024-04-06 15:49:27.000,2537.000000,user179,Venezuela,Ciudad Bolívar,"[8.1,-63.6]"
33,2024-04-05 00:30:13.000,2024-04-05 01:13:40.000,2607.000000,user203,Egypt,Cairo,"[30.05,31.25]"
34,2024-04-05 13:48:27.000,2024-04-05 17:52:25.000,14638.000000,user279,United States,Boston,"[42.3188,-71.0846]"
35,2024-04-07 12:22:35.000,2024-04-07 20:17:54.000,28519.000000,user455,United States,Springfield,"[42.1155,-72.5395]"
36,2024-04-06 07:48:07.000,2024-04-06 09:10:03.000,4916.000000,user346,Japan,Shizuoka,"[34.9858,138.3854]"
37,2024-04-06 14:33:32.000,2024-04-06 22:59:45.000,30373.000000,user53,Venezuela,Cabimas,"[10.43,-71.45]"
38,2024-04-10 01:47:37.000,2024-04-10 08:10:07.000,22950.000000,user91,Venezuela,Maiquetía,"[10.6004,-66.97]"
39,2024-04-09 15:39:12.000,2024-04-09 18:46:49.000,11257.000000,user260,United States,Oklahoma City,"[35.4676,-97.5137]"
40,2024-04-09 12:37:28.000,2024-04-09 14:10:03.000,5555.000000,user327,United States,Des Moines,"[41.5725,-93.6105]"
41,2024-04-05 07:35:42.000,2024-04-05 10:59:10.000,12208.000000,user392,Italy,Naples,"[40.84,14.245]"
42,2024-04-07 17:29:29.000,2024-04-07 23:25:20.000,21351.000000,user163,Brazil,Salvador,"[-12.97,-38.48]"
44,2024-04-05 12:21:45.000,2024-04-05 16:26:56.000,14711.000000,user446,United States,Fayetteville,"[36.0713,-94.166]"
45,2024-04-10 08:40:20.000,2024-04-10 12:04:19.000,12239.000000,user80,United Kingdom,Bournemouth,"[50.73,-1.9]"
46,2024-04-08 00:43:10.000,2024-04-08 09:25:57.000,31367.000000,user93,Netherlands,Eindhoven,"[51.43,5.5]"
47,2024-04-08 11:24:45.000,2024-04-08 17:30:49.000,21964.000000,user183,Brazil,Caxias do Sul,"[-29.18,-51.17]"
48,2024-04-03 14:46:58.000,2024-04-03 15:47:10.000,3612.000000,user44,Russia,Krasnoyarsk,"[56.014,92.866]"
49,2024-04-05 10:14:15.000,2024-04-05 11:28:08.000,4433.000000,user479,Russia,Orël,"[52.97,36.07]"
50,2024-04-07 10:51:32.000,2024-04-07 11:59:11.000,4059.000000,user374,Canada,Edmonton,"[53.55,-113.5]"
51,2024-04-10 07:32:09.000,2024-04-10 14:57:01.000,26692.000000,user406,Russia,Krasnodar,"[45.02,39]"
52,2024-04-08 21:14:39.000,2024-04-09 01:48:49.000,16450.000000,user437,United States,Boston,"[42.3188,-71.0846]"
53,2024-04-09 13:35:29.000,2024-04-09 20:18:12.000,24163.000000,user493,United States,Mesa,"[33.4017,-111.7181]"
54,2024-04-09 00:20:21.000,2024-04-09 00:58:51.000,2310.000000,user451,United Kingdom,Kingston upon Hull,"[53.7504,-0.33]"
55,2024-04-04 12:02:43.000,2024-04-04 15:24:16.000,12093.000000,user267,"Korea, South",Jeju,"[33.5101,126.5219]"
56,2024-04-04 15:43:36.000,2024-04-04 22:33:20.000,24584.000000,user448,United States,Santa Rosa,"[38.4458,-122.7067]"
57,2024-04-04 07:57:04.000,2024-04-04 14:00:34.000,21810.000000,user256,Nigeria,Awka,"[6.2104,7.07]"
58,2024-04-04 09:05:55.000,2024-04-04 11:31:49.000,8754.000000,user474,Argentina,Córdoba,"[-31.4,-64.1823]"
59,2024-04-10 06:37:02.000,2024-04-10 15:04:58.000,30476.000000,user418,Germany,Cologne,"[50.93,6.95]"
60,2024-04-10 11:17:49.000,2024-04-10 18:28:10.000,25821.000000,user430,Brazil,Franca,"[-20.53,-47.39]"
61,2024-04-06 03:48:52.000,2024-04-06 10:18:42.000,23390.000000,user249,United States,Akron,"[41.0798,-81.5219]"
62,2024-04-08 12:47:47.000,2024-04-08 13:33:14.000,2727.000000,user286,Russia,Stavropol’,"[45.05,41.98]"
63,2024-04-04 05:58:42.000,2024-04-04 12:38:16.000,23974.000000,user321,Israel,Jerusalem,"[31.7784,35.2066]"
64,2024-04-05 00:58:31.000,2024-04-05 06:13:56.000,18925.000000,user362,Ukraine,Mariupol’,"[47.0962,37.5562]"
65,2024-04-05 16:00:32.000,2024-04-05 20:59:56.000,17964.000000,user310,Brazil,Vila Velha,"[-20.3676,-40.318]"
66,2024-04-06 03:40:43.000,2024-04-06 08:23:12.000,16949.000000,user65,Italy,Verona,"[45.4404,10.99]"
67,2024-04-05 05:06:13.000,2024-04-05 07:10:36.000,7463.000000,user198,Brazil,Natal,"[-5.78,-35.24]"
68,2024-04-05 01:36:32.000,2024-04-05 06:35:39.000,17947.000000,user230,Turkey,Şanlıurfa,"[37.17,38.795]"
69,2024-04-04 23:40:19.000,2024-04-05 00:04:57.000,1478.000000,user381,Kazakhstan,Pavlodar,"[52.3,76.95]"
70,2024-04-12 01:16:26.000,2024-04-12 08:14:58.000,25112.000000,user203,Egypt,Cairo,"[30.05,31.25]"
71,2024-04-08 06:59:06.000,2024-04-08 14:44:36.000,27930.000000,user302,Japan,Miyazaki,"[31.9182,131.4184]"
72,2024-04-06 15:37:39.000,2024-04-06 19:10:15.000,12756.000000,user491,Russia,Tver’,"[56.86,35.89]"
73,2024-04-05 05:04:33.000,2024-04-05 07:38:41.000,9248.000000,user414,Belgium,Antwerp,"[51.2204,4.415]"
74,2024-04-08 14:21:54.000,2024-04-08 21:22:44.000,25250.000000,user273,Brazil,Macapá,"[0.033,-51.05]"
75,2024-04-05 23:28:26.000,2024-04-06 01:42:50.000,8064.000000,user495,Indonesia,Mataram,"[-8.5795,116.135]"
76,2024-04-13 16:06:46.000,2024-04-13 17:12:27.000,3941.000000,user203,Egypt,Cairo,"[30.05,31.25]"
77,2024-04-04 07:33:55.000,2024-04-04 15:00:40.000,26805.000000,user399,Russia,Yaroslavl’,"[57.62,39.87]"
78,2024-04-05 02:46:09.000,2024-04-05 08:07:34.000,19285.000000,user181,Indonesia,Banda Aceh,"[5.55,95.32]"
79,2024-04-05 20:22:19.000,2024-04-06 04:30:59.000,29320.000000,user62,Germany,Saarbrücken,"[49.2504,6.97]"
80,2024-04-04 10:25:59.000,2024-04-04 18:34:05.000,29286.000000,user195,Japan,Kanazawa,"[36.56,136.64]"
81,2024-04-10 00:57:49.000,2024-04-10 09:13:53.000,29764.000000,user101,United Arab Emirates,Dubai,"[25.23,55.28]"
82,2024-04-07 05:13:53.000,2024-04-07 10:32:09.000,19096.000000,user264,United Arab Emirates,Al ‘Ayn,"[24.2305,55.74]"
84,2024-04-08 05:22:42.000,2024-04-08 14:05:54.000,31392.000000,user498,United States,Riverside,"[33.9381,-117.3948]"
85,2024-04-04 17:37:50.000,2024-04-04 21:51:35.000,15225.000000,user363,Mexico,Xalapa,"[19.53,-96.92]"
86,2024-04-11 15:56:26.000,2024-04-11 23:00:10.000,25424.000000,user346,Japan,Shizuoka,"[34.9858,138.3854]"
87,2024-04-05 22:18:32.000,2024-04-06 04:03:54.000,20722.000000,user250,United States,Bronx,"[40.8501,-73.8662]"
88,2024-04-14 22:27:20.000,2024-04-15 01:49:46.000,12146.000000,user327,United States,Des Moines,"[41.5725,-93.6105]"
89,2024-04-06 12:03:35.000,2024-04-06 13:57:03.000,6808.000000,user213,Poland,Warsaw,"[52.25,21]"
90,2024-04-08 17:26:02.000,2024-04-09 00:24:09.000,25087.000000,user412,United Arab Emirates,Dubai,"[25.23,55.28]"
91,2024-04-07 19:52:21.000,2024-04-08 03:43:12.000,28251.000000,user103,Russia,Murmansk,"[68.97,33.1]"
92,2024-04-03 22:00:00.000,2024-04-04 04:48:29.000,24509.000000,user212,"Korea, South",Ulsan,"[35.5467,129.317]"
93,2024-04-07 10:42:57.000,2024-04-07 18:06:07.000,26590.000000,user377,United States,Milwaukee,"[43.0642,-87.9673]"
94,2024-04-15 07:24:51.000,2024-04-15 13:09:50.000,20699.000000,user215,Egypt,Ismailia,"[30.5903,32.26]"
95,2024-04-06 12:44:11.000,2024-04-06 19:59:13.000,26102.000000,user155,Germany,Dortmund,"[51.53,7.45]"
96,2024-04-09 20:33:32.000,2024-04-10 01:28:01.000,17669.000000,user13,Morocco,Agadir,"[30.44,-9.62]"
97,2024-04-07 06:17:33.000,2024-04-07 15:15:16.000,32263.000000,user378,Turkey,Kocaeli,"[40.776,29.9306]"
98,2024-04-09 18:01:29.000,2024-04-10 01:17:10.000,26141.000000,user94,Japan,Nagoya,"[35.155,136.915]"
99,2024-04-07 02:47:40.000,2024-04-07 06:55:32.000,14872.000000,user17,Japan,Tokyo,"[35.685,139.7514]"
100,2024-04-11 17:13:12.000,2024-04-11 17:30:09.000,1017.000000,user363,Mexico,Xalapa,"[19.53,-96.92]"
101,2024-04-09 11:31:15.000,2024-04-09 12:27:03.000,3348.000000,user52,United States,Oakland,"[37.7903,-122.2165]"
102,2024-04-03 22:06:01.000,2024-04-04 05:18:20.000,25939.000000,user426,United States,Grand Rapids,"[42.9615,-85.6557]"
103,2024-04-06 08:24:35.000,2024-04-06 16:15:10.000,28235.000000,user112,United States,Fort Collins,"[40.5475,-105.0651]"
104,2024-04-06 07:50:11.000,2024-04-06 10:27:40.000,9449.000000,user266,Tunisia,Sfax,"[34.75,10.72]"
105,2024-04-05 22:47:01.000,2024-04-06 04:42:55.000,21354.000000,user499,France,Toulouse,"[43.62,1.4499]"
106,2024-04-09 07:23:01.000,2024-04-09 11:30:26.000,14845.000000,user293,Japan,Nagano,"[36.65,138.17]"
107,2024-04-06 13:56:02.000,2024-04-06 17:06:24.000,11422.000000,user474,Argentina,Córdoba,"[-31.4,-64.1823]"
108,2024-04-09 09:37:05.000,2024-04-09 15:37:38.000,21633.000000,user496,Brazil,Santo André,"[-23.6528,-46.5278]"
109,2024-04-07 14:59:46.000,2024-04-07 17:40:10.000,9624.000000,user83,Uruguay,Montevideo,"[-34.858,-56.1711]"
110,2024-04-05 22:10:53.000,2024-04-05 22:12:26.000,93.000000,user391,Russia,Volgograd,"[48.71,44.5]"
111,2024-04-09 13:35:34.000,2024-04-09 18:05:37.000,16203.000000,user115,United States,Port St. Lucie,"[27.2796,-80.3884]"
112,2024-04-12 22:34:06.000,2024-04-13 07:35:03.000,32457.000000,user250,United States,Bronx,"[40.8501,-73.8662]"
113,2024-04-09 15:36:53.000,2024-04-09 20:03:30.000,15997.000000,user440,Italy,Rome,"[41.896,12.4833]"
114,2024-04-08 20:33:57.000,2024-04-08 20:44:06.000,609.000000,user284,Poland,Szczecin,"[53.4204,14.53]"
115,2024-04-13 05:46:19.000,2024-04-13 12:25:14.000,23935.000000,user34,"Korea, South",Cheongju,"[36.6439,127.5012]"
116,2024-04-05 10:46:41.000,2024-04-05 19:07:41.000,30060.000000,user11,United States,Murrieta,"[33.572,-117.1909]"
117,2024-04-03 23:23:47.000,2024-04-04 04:05:08.000,16881.000000,user107,Vietnam,Huế,"[16.47,107.58]"
118,2024-04-04 04:31:49.000,2024-04-04 12:01:21.000,26972.000000,user30,France,Strasbourg,"[48.58,7.75]"
119,2024-04-13 03:15:42.000,2024-04-13 04:06:46.000,3064.000000,user446,United States,Fayetteville,"[36.0713,-94.166]"
120,2024-04-05 05:31:15.000,2024-04-05 12:44:09.000,25974.000000,user142,Japan,Wakayama,"[34.2231,135.1677]"
121,2024-04-06 16:23:52.000,2024-04-06 20:50:58.000,16026.000000,user37,United States,Kissimmee,"[28.3042,-81.4164]"
122,2024-04-08 15:13:55.000,2024-04-08 18:28:17.000,11662.000000,user438,United States,Durham,"[35.9795,-78.9032]"
123,2024-04-09 19:05:01.000,2024-04-09 23:58:31.000,17610.000000,user125,Argentina,San Luis,"[-33.3,-66.35]"
124,2024-04-06 13:20:42.000,2024-04-06 21:48:37.000,30475.000000,user330,Vietnam,Quảng Hà,"[16.06,108.25]"
125,2024-04-04 15:20:58.000,2024-04-04 19:00:41.000,13183.000000,user367,Germany,Augsburg,"[48.35,10.9]"
126,2024-04-08 22:24:26.000,2024-04-09 06:07:41.000,27795.000000,user57,United States,Detroit,"[42.3834,-83.1024]"
127,2024-04-08 07:37:13.000,2024-04-08 16:00:09.000,30176.000000,user415,Germany,Chemnitz,"[50.83,12.92]"
128,2024-04-03 21:31:15.000,2024-04-03 22:22:29.000,3074.000000,user105,Argentina,Salta,"[-24.7834,-65.4166]"
129,2024-04-16 07:32:22.000,2024-04-16 10:50:52.000,11910.000000,user437,United States,Boston,"[42.3188,-71.0846]"
130,2024-04-07 08:01:12.000,2024-04-07 09:42:39.000,6087.000000,user153,Nigeria,Ogbomoso,"[8.13,4.24]"
131,2024-04-06 07:52:54.000,2024-04-06 08:57:02.000,3848.000000,user465,Egypt,Kawm Umbū,"[24.47,32.95]"
132,2024-04-12 05:17:48.000,2024-04-12 12:19:37.000,25309.000000,user213,Poland,Warsaw,"[52.25,21]"
133,2024-04-04 05:49:33.000,2024-04-04 12:30:52.000,24079.000000,user423,Spain,Las Palmas de Gran Canaria,"[28.1,-15.43]"
134,2024-04-06 01:42:58.000,2024-04-06 06:00:33.000,15455.000000,user457,Japan,Matsuyama,"[33.8455,132.7658]"
135,2024-04-12 04:38:19.000,2024-04-12 05:42:47.000,3868.000000,user63,Turkey,Diyarbakır,"[37.9204,40.23]"
136,2024-04-03 18:57:32.000,2024-04-03 23:19:07.000,15695.000000,user484,United States,Miami,"[25.7839,-80.2102]"
137,2024-04-19 02:56:00.000,2024-04-19 07:16:19.000,15619.000000,user63,Turkey,Diyarbakır,"[37.9204,40.23]"
138,2024-04-09 18:35:21.000,2024-04-09 20:12:31.000,5830.000000,user364,United Kingdom,Edinburgh,"[55.9483,-3.2191]"
139,2024-04-13 09:36:36.000,2024-04-13 11:33:43.000,7027.000000,user52,United States,Oakland,"[37.7903,-122.2165]"
140,2024-04-06 01:18:12.000,2024-04-06 07:51:04.000,23572.000000,user433,Venezuela,Los Teques,"[10.42,-67.02]"
141,2024-04-09 15:15:21.000,2024-04-09 22:44:02.000,26921.000000,user95,Kazakhstan,Pavlodar,"[52.3,76.95]"
142,2024-04-05 21:37:42.000,2024-04-05 23:15:58.000,5896.000000,user167,Netherlands,Haarlem,"[52.3804,4.63]"
3564,2024-06-25 13:19:51.000,2024-06-25 19:22:29.000,21758.000000,user96,Italy,Genoa,"[44.41,8.93]"
143,2024-04-07 19:30:13.000,2024-04-07 23:48:52.000,15519.000000,user124,Russia,Orenburg,"[51.78,55.11]"
144,2024-04-06 22:47:14.000,2024-04-07 04:23:38.000,20184.000000,user322,Turkey,Kocaeli,"[40.776,29.9306]"
145,2024-04-06 00:01:40.000,2024-04-06 03:33:20.000,12700.000000,user224,Sweden,Stockholm,"[59.3508,18.0973]"
146,2024-04-09 04:12:02.000,2024-04-09 08:03:39.000,13897.000000,user292,United States,San Antonio,"[29.4658,-98.5254]"
147,2024-04-03 18:28:55.000,2024-04-03 20:32:34.000,7419.000000,user442,Poland,Wrocław,"[51.1104,17.03]"
148,2024-04-06 06:53:33.000,2024-04-06 09:19:21.000,8748.000000,user140,Germany,Frankfurt,"[50.1,8.675]"
149,2024-04-08 20:01:26.000,2024-04-09 02:54:23.000,24777.000000,user31,United States,Palm Bay,"[27.955,-80.6628]"
150,2024-04-11 08:36:49.000,2024-04-11 16:31:27.000,28478.000000,user32,Ukraine,Kharkiv,"[50,36.25]"
151,2024-04-07 23:28:03.000,2024-04-08 06:39:10.000,25867.000000,user24,Brazil,Brasília,"[-15.7833,-47.9161]"
152,2024-04-06 11:35:28.000,2024-04-06 11:42:22.000,414.000000,user15,Belgium,Antwerp,"[51.2204,4.415]"
153,2024-04-09 01:20:12.000,2024-04-09 03:03:41.000,6209.000000,user154,Indonesia,Ambon,"[-3.7167,128.2]"
154,2024-04-10 22:32:12.000,2024-04-11 02:31:43.000,14371.000000,user292,United States,San Antonio,"[29.4658,-98.5254]"
155,2024-04-09 21:47:33.000,2024-04-10 05:09:10.000,26497.000000,user37,United States,Kissimmee,"[28.3042,-81.4164]"
156,2024-04-09 07:16:32.000,2024-04-09 09:20:34.000,7442.000000,user408,Germany,Karlsruhe,"[49,8.4]"
157,2024-04-13 16:25:49.000,2024-04-13 21:38:11.000,18742.000000,user260,United States,Oklahoma City,"[35.4676,-97.5137]"
158,2024-04-06 14:33:09.000,2024-04-06 18:25:02.000,13913.000000,user384,Spain,Santa Cruz de Tenerife,"[28.47,-16.25]"
159,2024-04-09 23:22:46.000,2024-04-10 03:07:53.000,13507.000000,user424,United States,New Orleans,"[30.0687,-89.9288]"
160,2024-04-07 03:12:29.000,2024-04-07 11:34:13.000,30104.000000,user138,United States,Flint,"[43.0235,-83.6922]"
161,2024-04-06 03:12:45.000,2024-04-06 08:24:12.000,18687.000000,user462,Indonesia,Mataram,"[-8.5795,116.135]"
162,2024-04-04 03:11:17.000,2024-04-04 06:10:02.000,10725.000000,user375,Russia,Tver’,"[56.86,35.89]"
163,2024-04-09 15:47:49.000,2024-04-09 20:39:52.000,17523.000000,user206,Brazil,Campos,"[-21.75,-41.32]"
164,2024-04-07 09:37:13.000,2024-04-07 18:37:24.000,32411.000000,user303,Romania,Timişoara,"[45.7588,21.2234]"
165,2024-04-12 11:11:24.000,2024-04-12 17:29:25.000,22681.000000,user93,Netherlands,Eindhoven,"[51.43,5.5]"
166,2024-04-06 08:10:01.000,2024-04-06 14:14:15.000,21854.000000,user214,Morocco,Agadir,"[30.44,-9.62]"
167,2024-04-07 09:14:35.000,2024-04-07 09:32:55.000,1100.000000,user234,Vietnam,Nha Trang,"[12.25,109.17]"
168,2024-04-10 12:53:23.000,2024-04-10 14:08:19.000,4496.000000,user110,Egypt,Qinā,"[26.1505,32.72]"
169,2024-04-08 16:25:20.000,2024-04-08 16:54:40.000,1760.000000,user3,Argentina,Santa Fe,"[-31.6239,-60.69]"
170,2024-04-09 10:14:33.000,2024-04-09 14:06:16.000,13903.000000,user195,Japan,Kanazawa,"[36.56,136.64]"
171,2024-04-07 09:41:16.000,2024-04-07 16:02:27.000,22871.000000,user433,Venezuela,Los Teques,"[10.42,-67.02]"
172,2024-04-07 12:48:39.000,2024-04-07 17:05:43.000,15424.000000,user150,United States,Charlotte,"[35.2079,-80.8304]"
173,2024-04-14 00:10:42.000,2024-04-14 03:03:14.000,10352.000000,user307,Argentina,Corrientes,"[-27.49,-58.81]"
174,2024-04-03 16:04:42.000,2024-04-03 19:27:15.000,12153.000000,user466,Japan,Ōsaka,"[34.75,135.4601]"
175,2024-04-12 20:06:15.000,2024-04-13 01:23:07.000,19012.000000,user415,Germany,Chemnitz,"[50.83,12.92]"
176,2024-04-05 21:04:25.000,2024-04-06 03:03:02.000,21517.000000,user10,United States,Winston-Salem,"[36.1029,-80.261]"
177,2024-04-04 16:15:23.000,2024-04-04 22:33:53.000,22710.000000,user130,Brazil,Vila Velha,"[-20.3676,-40.318]"
178,2024-04-12 17:27:19.000,2024-04-12 22:35:15.000,18476.000000,user273,Brazil,Macapá,"[0.033,-51.05]"
179,2024-04-03 15:31:52.000,2024-04-03 18:10:57.000,9545.000000,user342,Mexico,Mazatlán,"[23.2211,-106.42]"
180,2024-04-11 03:51:23.000,2024-04-11 08:33:30.000,16927.000000,user381,Kazakhstan,Pavlodar,"[52.3,76.95]"
181,2024-04-07 13:52:30.000,2024-04-07 18:56:54.000,18264.000000,user306,Netherlands,Haarlem,"[52.3804,4.63]"
182,2024-04-08 01:37:38.000,2024-04-08 10:33:46.000,32168.000000,user365,Italy,Naples,"[40.84,14.245]"
183,2024-04-09 21:44:36.000,2024-04-10 04:15:58.000,23482.000000,user24,Brazil,Brasília,"[-15.7833,-47.9161]"
184,2024-04-05 05:31:25.000,2024-04-05 08:12:41.000,9676.000000,user58,Poland,Kraków,"[50.06,19.96]"
185,2024-04-08 16:45:42.000,2024-04-09 01:32:36.000,31614.000000,user434,Germany,Wiesbaden,"[50.0804,8.25]"
186,2024-04-05 13:48:21.000,2024-04-05 17:07:08.000,11927.000000,user277,Canada,Oshawa,"[43.88,-78.85]"
187,2024-04-08 13:44:59.000,2024-04-08 20:06:46.000,22907.000000,user220,Argentina,Santa Fe,"[-31.6239,-60.69]"
188,2024-04-11 22:12:06.000,2024-04-12 00:21:28.000,7762.000000,user440,Italy,Rome,"[41.896,12.4833]"
189,2024-04-09 06:43:07.000,2024-04-09 12:17:49.000,20082.000000,user83,Uruguay,Montevideo,"[-34.858,-56.1711]"
190,2024-04-05 01:47:05.000,2024-04-05 07:53:55.000,22010.000000,user64,Australia,Cranbourne,"[-38.0996,145.2834]"
191,2024-04-10 05:33:51.000,2024-04-10 09:29:54.000,14163.000000,user8,Indonesia,Binjai,"[3.6204,98.5001]"
192,2024-04-09 11:47:08.000,2024-04-09 19:02:50.000,26142.000000,user310,Brazil,Vila Velha,"[-20.3676,-40.318]"
193,2024-04-13 16:56:11.000,2024-04-14 00:09:42.000,26011.000000,user224,Sweden,Stockholm,"[59.3508,18.0973]"
194,2024-04-09 23:45:43.000,2024-04-10 07:38:50.000,28387.000000,user286,Russia,Stavropol’,"[45.05,41.98]"
195,2024-04-03 18:23:06.000,2024-04-03 20:37:40.000,8074.000000,user164,United States,Allentown,"[40.5961,-75.4755]"
196,2024-04-05 04:25:37.000,2024-04-05 10:54:11.000,23314.000000,user78,United States,Columbus,"[39.986,-82.9851]"
197,2024-04-06 17:22:40.000,2024-04-06 18:31:23.000,4123.000000,user41,Argentina,Mar del Plata,"[-38,-57.58]"
198,2024-04-06 03:05:53.000,2024-04-06 05:23:50.000,8277.000000,user187,Spain,Granada,"[37.165,-3.585]"
199,2024-04-16 16:01:27.000,2024-04-16 17:16:27.000,4500.000000,user346,Japan,Shizuoka,"[34.9858,138.3854]"
200,2024-04-17 16:32:46.000,2024-04-17 21:49:39.000,19013.000000,user327,United States,Des Moines,"[41.5725,-93.6105]"
201,2024-04-11 19:24:07.000,2024-04-11 21:52:29.000,8902.000000,user392,Italy,Naples,"[40.84,14.245]"
202,2024-04-07 21:32:38.000,2024-04-08 01:24:30.000,13912.000000,user468,Romania,Craiova,"[44.3263,23.8259]"
203,2024-04-10 07:59:45.000,2024-04-10 08:04:55.000,310.000000,user230,Turkey,Şanlıurfa,"[37.17,38.795]"
204,2024-04-05 13:29:10.000,2024-04-05 13:58:08.000,1738.000000,user379,Venezuela,Mérida,"[8.4,-71.13]"
205,2024-04-08 20:27:44.000,2024-04-09 04:15:47.000,28083.000000,user236,Ukraine,Luhans’k,"[48.5698,39.3344]"
206,2024-04-07 18:09:49.000,2024-04-07 22:14:59.000,14710.000000,user85,Russia,Kazan’,"[55.7499,49.1263]"
207,2024-04-04 12:32:45.000,2024-04-04 18:00:45.000,19680.000000,user235,Morocco,Kenitra,"[34.2704,-6.58]"
208,2024-04-07 13:03:11.000,2024-04-07 14:21:53.000,4722.000000,user477,Mexico,Heroica Matamoros,"[25.88,-97.5]"
209,2024-04-06 09:16:16.000,2024-04-06 13:34:42.000,15506.000000,user367,Germany,Augsburg,"[48.35,10.9]"
210,2024-04-05 05:47:47.000,2024-04-05 12:22:41.000,23694.000000,user120,Japan,Tokyo,"[35.685,139.7514]"
211,2024-04-05 16:40:25.000,2024-04-05 21:28:11.000,17266.000000,user114,Kazakhstan,Pavlodar,"[52.3,76.95]"
212,2024-04-08 02:41:10.000,2024-04-08 08:29:44.000,20914.000000,user266,Tunisia,Sfax,"[34.75,10.72]"
213,2024-04-03 23:47:52.000,2024-04-04 07:33:45.000,27953.000000,user449,United States,Charlotte,"[35.2079,-80.8304]"
214,2024-04-04 00:32:53.000,2024-04-04 08:22:45.000,28192.000000,user280,Netherlands,The Hague,"[52.08,4.27]"
215,2024-04-05 06:16:31.000,2024-04-05 15:01:48.000,31517.000000,user171,Turkey,Kocaeli,"[40.776,29.9306]"
216,2024-04-06 15:54:04.000,2024-04-06 16:15:31.000,1287.000000,user348,Brazil,Florianópolis,"[-27.58,-48.52]"
217,2024-04-13 05:12:36.000,2024-04-13 08:40:50.000,12494.000000,user336,Mexico,San Luis Potosí,"[22.17,-101]"
218,2024-04-16 19:16:34.000,2024-04-17 04:01:31.000,31497.000000,user110,Egypt,Qinā,"[26.1505,32.72]"
219,2024-04-10 02:00:59.000,2024-04-10 08:00:37.000,21578.000000,user457,Japan,Matsuyama,"[33.8455,132.7658]"
